v1	V(n002)	I(R1)
-4.400000000000038e+000	-7.810375e-001	-7.699920e-003
-4.300000000000038e+000	-7.801442e-001	-7.489055e-003
-4.200000000000038e+000	-7.792284e-001	-7.278237e-003
-4.100000000000039e+000	-7.782889e-001	-7.067470e-003
-4.000000000000039e+000	-7.773243e-001	-6.856757e-003
-3.900000000000039e+000	-7.763330e-001	-6.646100e-003
-3.800000000000039e+000	-7.753133e-001	-6.435504e-003
-3.700000000000039e+000	-7.742634e-001	-6.224972e-003
-3.600000000000039e+000	-7.731811e-001	-6.014508e-003
-3.500000000000039e+000	-7.720644e-001	-5.804118e-003
-3.400000000000039e+000	-7.709106e-001	-5.593807e-003
-3.300000000000039e+000	-7.697169e-001	-5.383581e-003
-3.200000000000038e+000	-7.684801e-001	-5.173447e-003
-3.100000000000038e+000	-7.671970e-001	-4.963411e-003
-3.000000000000038e+000	-7.658634e-001	-4.753482e-003
-2.900000000000038e+000	-7.644748e-001	-4.543670e-003
-2.800000000000038e+000	-7.630263e-001	-4.333986e-003
-2.700000000000038e+000	-7.615120e-001	-4.124443e-003
-2.600000000000038e+000	-7.599251e-001	-3.915053e-003
-2.500000000000038e+000	-7.582579e-001	-3.705834e-003
-2.400000000000038e+000	-7.565013e-001	-3.496806e-003
-2.300000000000038e+000	-7.546445e-001	-3.287990e-003
-2.200000000000038e+000	-7.526748e-001	-3.079415e-003
-2.100000000000037e+000	-7.505767e-001	-2.871113e-003
-2.000000000000037e+000	-7.483316e-001	-2.663124e-003
-1.900000000000037e+000	-7.459164e-001	-2.455497e-003
-1.800000000000037e+000	-7.433021e-001	-2.248293e-003
-1.700000000000037e+000	-7.404519e-001	-2.041592e-003
-1.600000000000037e+000	-7.373175e-001	-1.835495e-003
-1.500000000000037e+000	-7.338347e-001	-1.630139e-003
-1.400000000000037e+000	-7.299152e-001	-1.425712e-003
-1.300000000000037e+000	-7.254325e-001	-1.222484e-003
-1.200000000000037e+000	-7.201980e-001	-1.020855e-003
-1.100000000000037e+000	-7.139125e-001	-8.214627e-004
-1.000000000000036e+000	-7.060633e-001	-6.253972e-004
-9.000000000000364e-001	-6.956734e-001	-4.347374e-004
-8.000000000000365e-001	-6.802300e-001	-2.548298e-004
-7.000000000000365e-001	-6.533127e-001	-9.933457e-005
-6.000000000000365e-001	-5.941208e-001	-1.250895e-005
-5.000000000000365e-001	-4.997846e-001	-4.583556e-007
-4.000000000000366e-001	-3.999935e-001	-1.387226e-008
-3.000000000000366e-001	-2.999998e-001	-4.170922e-010
-2.000000000000366e-001	-2.000000e-001	-1.271020e-011
-1.000000000000366e-001	-1.000000e-001	-4.648555e-013
-3.655409308578328e-014	-3.655409e-014	-5.082064e-026
9.999999999996345e-002	1.000000e-001	1.109606e-013
1.999999999999635e-001	2.000000e-001	2.112898e-013
2.999999999999635e-001	3.000000e-001	3.112998e-013
3.999999999999635e-001	4.000000e-001	4.113001e-013
4.999999999999635e-001	5.000000e-001	5.112999e-013
5.999999999999635e-001	6.000000e-001	6.112999e-013
6.999999999999634e-001	7.000000e-001	7.113001e-013
7.999999999999634e-001	8.000000e-001	8.113000e-013
8.999999999999634e-001	9.000000e-001	9.113001e-013
9.999999999999634e-001	1.000000e+000	1.011300e-012
1.099999999999964e+000	1.100000e+000	1.111300e-012
1.199999999999964e+000	1.200000e+000	1.211300e-012
1.299999999999964e+000	1.300000e+000	1.311300e-012
1.399999999999964e+000	1.400000e+000	1.411300e-012
1.499999999999964e+000	1.500000e+000	1.511300e-012
1.599999999999964e+000	1.600000e+000	1.611300e-012
1.699999999999964e+000	1.700000e+000	1.711300e-012
1.799999999999964e+000	1.800000e+000	1.811300e-012
1.899999999999964e+000	1.900000e+000	1.911300e-012
1.999999999999964e+000	2.000000e+000	2.011300e-012
2.099999999999964e+000	2.100000e+000	2.111300e-012
2.199999999999964e+000	2.200000e+000	2.211300e-012
2.299999999999964e+000	2.300000e+000	2.311300e-012
2.399999999999964e+000	2.400000e+000	2.411299e-012
2.499999999999965e+000	2.500000e+000	2.511300e-012
2.599999999999965e+000	2.600000e+000	2.611300e-012
2.699999999999965e+000	2.700000e+000	2.711300e-012
2.799999999999965e+000	2.800000e+000	2.811300e-012
2.899999999999965e+000	2.900000e+000	2.911301e-012
2.999999999999965e+000	3.000000e+000	3.011300e-012
3.099999999999965e+000	3.100000e+000	3.111299e-012
3.199999999999965e+000	3.200000e+000	3.211300e-012
3.299999999999965e+000	3.300000e+000	3.311299e-012
3.399999999999965e+000	3.400000e+000	3.411300e-012
3.499999999999965e+000	3.500000e+000	3.511300e-012
3.599999999999965e+000	3.600000e+000	3.611299e-012
3.699999999999966e+000	3.700000e+000	3.711301e-012
3.799999999999966e+000	3.800000e+000	3.811300e-012
