v1	V(n002)	I(R1)
-4.400000000000038e+000	-4.400000e+000	-4.411949e-012
-4.300000000000038e+000	-4.300000e+000	-4.311934e-012
-4.200000000000038e+000	-4.200000e+000	-4.211920e-012
-4.100000000000039e+000	-4.100000e+000	-4.111905e-012
-4.000000000000039e+000	-4.000000e+000	-4.011890e-012
-3.900000000000039e+000	-3.900000e+000	-3.911876e-012
-3.800000000000039e+000	-3.800000e+000	-3.811860e-012
-3.700000000000039e+000	-3.700000e+000	-3.711846e-012
-3.600000000000039e+000	-3.600000e+000	-3.611830e-012
-3.500000000000039e+000	-3.500000e+000	-3.511816e-012
-3.400000000000039e+000	-3.400000e+000	-3.411801e-012
-3.300000000000039e+000	-3.300000e+000	-3.311787e-012
-3.200000000000038e+000	-3.200000e+000	-3.211772e-012
-3.100000000000038e+000	-3.100000e+000	-3.111758e-012
-3.000000000000038e+000	-3.000000e+000	-3.011742e-012
-2.900000000000038e+000	-2.900000e+000	-2.911727e-012
-2.800000000000038e+000	-2.800000e+000	-2.811713e-012
-2.700000000000038e+000	-2.700000e+000	-2.711698e-012
-2.600000000000038e+000	-2.600000e+000	-2.611683e-012
-2.500000000000038e+000	-2.500000e+000	-2.511668e-012
-2.400000000000038e+000	-2.400000e+000	-2.411654e-012
-2.300000000000038e+000	-2.300000e+000	-2.311639e-012
-2.200000000000038e+000	-2.200000e+000	-2.211624e-012
-2.100000000000037e+000	-2.100000e+000	-2.111609e-012
-2.000000000000037e+000	-2.000000e+000	-2.011595e-012
-1.900000000000037e+000	-1.900000e+000	-1.911580e-012
-1.800000000000037e+000	-1.800000e+000	-1.811565e-012
-1.700000000000037e+000	-1.700000e+000	-1.711550e-012
-1.600000000000037e+000	-1.600000e+000	-1.611536e-012
-1.500000000000037e+000	-1.500000e+000	-1.511521e-012
-1.400000000000037e+000	-1.400000e+000	-1.411506e-012
-1.300000000000037e+000	-1.300000e+000	-1.311492e-012
-1.200000000000037e+000	-1.200000e+000	-1.211477e-012
-1.100000000000037e+000	-1.100000e+000	-1.111462e-012
-1.000000000000036e+000	-1.000000e+000	-1.011447e-012
-9.000000000000364e-001	-9.000000e-001	-9.114326e-013
-8.000000000000365e-001	-8.000000e-001	-8.114178e-013
-7.000000000000365e-001	-7.000000e-001	-7.114031e-013
-6.000000000000365e-001	-6.000000e-001	-6.113882e-013
-5.000000000000365e-001	-5.000000e-001	-5.113738e-013
-4.000000000000366e-001	-4.000000e-001	-4.113589e-013
-3.000000000000366e-001	-3.000000e-001	-3.113408e-013
-2.000000000000366e-001	-2.000000e-001	-2.113366e-013
-1.000000000000366e-001	-1.000000e-001	-1.109845e-013
-3.655409308578328e-014	-3.655409e-014	-5.103899e-026
9.999999999996345e-002	1.000000e-001	4.648708e-013
1.999999999999635e-001	2.000000e-001	1.271021e-011
2.999999999999635e-001	2.999998e-001	4.171028e-010
3.999999999999635e-001	3.999935e-001	1.387226e-008
4.999999999999635e-001	4.997846e-001	4.583844e-007
5.999999999999635e-001	5.941208e-001	1.250893e-005
6.999999999999634e-001	6.533239e-001	9.931075e-005
7.999999999999634e-001	6.802802e-001	2.547230e-004
8.999999999999634e-001	6.956234e-001	4.348438e-004
9.999999999999634e-001	7.060249e-001	6.254789e-004
1.099999999999964e+000	7.139964e-001	8.212843e-004
1.199999999999964e+000	7.202401e-001	1.020766e-003
1.299999999999964e+000	7.254456e-001	1.222456e-003
1.399999999999964e+000	7.299210e-001	1.425700e-003
1.499999999999964e+000	7.338380e-001	1.630132e-003
1.599999999999964e+000	7.373194e-001	1.835491e-003
1.699999999999964e+000	7.404530e-001	2.041589e-003
1.799999999999964e+000	7.433028e-001	2.248292e-003
1.899999999999964e+000	7.459169e-001	2.455496e-003
1.999999999999964e+000	7.483320e-001	2.663123e-003
2.099999999999964e+000	7.505769e-001	2.871113e-003
2.199999999999964e+000	7.526749e-001	3.079415e-003
2.299999999999964e+000	7.546446e-001	3.287990e-003
2.399999999999964e+000	7.565014e-001	3.496806e-003
2.499999999999965e+000	7.582580e-001	3.705834e-003
2.599999999999965e+000	7.599251e-001	3.915053e-003
2.699999999999965e+000	7.615120e-001	4.124443e-003
2.799999999999965e+000	7.630263e-001	4.333986e-003
2.899999999999965e+000	7.644748e-001	4.543670e-003
2.999999999999965e+000	7.658634e-001	4.753482e-003
3.099999999999965e+000	7.671970e-001	4.963411e-003
3.199999999999965e+000	7.684802e-001	5.173447e-003
3.299999999999965e+000	7.697169e-001	5.383581e-003
3.399999999999965e+000	7.709106e-001	5.593807e-003
3.499999999999965e+000	7.720644e-001	5.804118e-003
3.599999999999965e+000	7.731811e-001	6.014508e-003
3.699999999999966e+000	7.742634e-001	6.224972e-003
3.799999999999966e+000	7.753133e-001	6.435504e-003
3.899999999999966e+000	7.763330e-001	6.646100e-003
3.999999999999966e+000	7.773243e-001	6.856757e-003
4.099999999999966e+000	7.782889e-001	7.067470e-003
4.199999999999966e+000	7.792284e-001	7.278237e-003
4.299999999999965e+000	7.801442e-001	7.489055e-003
4.399999999999965e+000	7.810375e-001	7.699920e-003
4.499999999999965e+000	7.819096e-001	7.910831e-003
4.599999999999964e+000	7.827616e-001	8.121784e-003
4.699999999999964e+000	7.835945e-001	8.332778e-003
4.799999999999963e+000	7.844093e-001	8.543810e-003
4.899999999999963e+000	7.852068e-001	8.754879e-003
5.000000000000000e+000	7.859879e-001	8.965983e-003
