X,CH1,CH2,
886,1.875000e+00,1.500000e+00,
887,2.125000e+00,2.000000e+00,
888,2.125000e+00,1.500000e+00,
889,1.875000e+00,2.000000e+00,
890,1.875000e+00,1.500000e+00,
891,2.187500e+00,2.062500e+00,
892,2.187500e+00,1.500000e+00,
893,1.875000e+00,2.062500e+00,
894,2.187500e+00,2.000000e+00,
895,1.937500e+00,1.500000e+00,
896,2.187500e+00,1.562500e+00,
897,2.000000e+00,1.937500e+00,
898,1.937500e+00,1.437500e+00,
899,2.250000e+00,2.062500e+00,
900,2.000000e+00,1.500000e+00,
901,2.312500e+00,2.062500e+00,
902,2.312500e+00,1.500000e+00,
903,2.000000e+00,2.062500e+00,
904,2.062500e+00,1.562500e+00,
905,2.312500e+00,2.000000e+00,
906,2.312500e+00,1.500000e+00,
907,2.062500e+00,2.062500e+00,
908,2.375000e+00,1.500000e+00,
909,2.062500e+00,2.062500e+00,
910,2.125000e+00,1.562500e+00,
911,2.375000e+00,2.062500e+00,
912,2.187500e+00,1.625000e+00,
913,2.375000e+00,1.937500e+00,
914,2.125000e+00,1.500000e+00,
915,2.437500e+00,2.062500e+00,
916,2.187500e+00,1.500000e+00,
917,2.437500e+00,2.062500e+00,
918,2.437500e+00,1.500000e+00,
919,2.187500e+00,2.062500e+00,
920,2.500000e+00,1.562500e+00,
921,2.187500e+00,2.062500e+00,
922,2.250000e+00,1.562500e+00,
923,2.500000e+00,2.062500e+00,
924,2.500000e+00,1.562500e+00,
925,2.250000e+00,2.062500e+00,
926,2.312500e+00,1.937500e+00,
927,2.562500e+00,1.562500e+00,
928,2.312500e+00,1.562500e+00,
929,2.562500e+00,2.000000e+00,
930,2.375000e+00,1.562500e+00,
931,2.562500e+00,2.062500e+00,
932,2.625000e+00,1.937500e+00,
933,2.375000e+00,1.625000e+00,
934,2.437500e+00,1.625000e+00,
935,2.625000e+00,1.937500e+00,
936,2.625000e+00,1.562500e+00,
937,2.437500e+00,2.062500e+00,
938,2.625000e+00,1.562500e+00,
939,2.437500e+00,2.062500e+00,
940,2.500000e+00,1.625000e+00,
941,2.687500e+00,2.000000e+00,
942,2.687500e+00,1.562500e+00,
943,2.500000e+00,2.062500e+00,
944,2.687500e+00,1.562500e+00,
945,2.500000e+00,2.062500e+00,
946,2.750000e+00,1.562500e+00,
947,2.500000e+00,2.062500e+00,
948,2.750000e+00,1.937500e+00,
949,2.562500e+00,1.625000e+00,
950,2.750000e+00,1.625000e+00,
951,2.562500e+00,1.937500e+00,
952,2.562500e+00,1.625000e+00,
953,2.812500e+00,2.062500e+00,
954,2.625000e+00,1.625000e+00,
955,2.812500e+00,2.062500e+00,
956,2.812500e+00,1.625000e+00,
957,2.625000e+00,2.000000e+00,
958,2.875000e+00,1.625000e+00,
959,2.625000e+00,2.062500e+00,
960,2.687500e+00,1.625000e+00,
961,2.875000e+00,2.062500e+00,
962,2.687500e+00,1.562500e+00,
963,2.937500e+00,2.062500e+00,
964,2.750000e+00,1.937500e+00,
965,2.937500e+00,1.625000e+00,
966,2.750000e+00,1.625000e+00,
967,2.937500e+00,2.062500e+00,
968,2.750000e+00,1.625000e+00,
969,3.000000e+00,2.000000e+00,
970,3.000000e+00,1.625000e+00,
971,2.750000e+00,2.062500e+00,
972,2.812500e+00,1.625000e+00,
973,3.000000e+00,2.062500e+00,
974,3.000000e+00,1.625000e+00,
975,2.812500e+00,2.062500e+00,
976,2.875000e+00,1.625000e+00,
977,3.062500e+00,2.062500e+00,
978,2.875000e+00,1.625000e+00,
979,3.062500e+00,2.062500e+00,
980,3.125000e+00,1.625000e+00,
981,2.875000e+00,2.062500e+00,
982,3.125000e+00,1.625000e+00,
983,2.875000e+00,2.062500e+00,
984,3.125000e+00,1.625000e+00,
985,2.937500e+00,2.000000e+00,
986,3.000000e+00,1.937500e+00,
987,3.125000e+00,1.625000e+00,
988,3.187500e+00,1.625000e+00,
989,2.937500e+00,2.125000e+00,
990,3.000000e+00,1.687500e+00,
991,3.187500e+00,1.937500e+00,
992,3.250000e+00,1.625000e+00,
993,3.000000e+00,2.062500e+00,
994,3.062500e+00,1.625000e+00,
995,3.250000e+00,2.125000e+00,
996,3.250000e+00,1.625000e+00,
997,3.062500e+00,2.062500e+00,
998,3.312500e+00,2.062500e+00,
999,3.062500e+00,1.562500e+00,
1000,3.125000e+00,1.625000e+00,
1001,3.312500e+00,2.000000e+00,
1002,3.312500e+00,1.625000e+00,
1003,3.125000e+00,1.937500e+00,
1004,3.125000e+00,1.625000e+00,
1005,3.375000e+00,2.125000e+00,
1006,3.187500e+00,1.937500e+00,
1007,3.375000e+00,1.625000e+00,
1008,3.375000e+00,1.625000e+00,
1009,3.187500e+00,2.125000e+00,
1010,3.437500e+00,1.625000e+00,
1011,3.187500e+00,2.125000e+00,
1012,3.437500e+00,1.625000e+00,
1013,3.187500e+00,2.062500e+00,
