Freq.	V(out)/V(in)
1.86208713666287e+000	(-9.99109427230154e+001dB,7.00118612283019e-001°)
1.90546071796325e+000	(-9.95108826267241e+001dB,7.16421530931171e-001°)
1.94984459975804e+000	(-9.91108196990848e+001dB,7.33103840213480e-001°)
1.99526231496888e+000	(-9.87107538068186e+001dB,7.50174352029304e-001°)
2.04173794466953e+000	(-9.83106848103805e+001dB,7.67642081731922e-001°)
2.08929613085404e+000	(-9.79106125635244e+001dB,7.85516252732538e-001°)
2.13796208950223e+000	(-9.75105369130918e+001dB,8.03806301212497e-001°)
2.18776162394955e+000	(-9.71104576990611e+001dB,8.22521880937160e-001°)
2.23872113856834e+000	(-9.67103747533929e+001dB,8.41672868150159e-001°)
2.29086765276777e+000	(-9.63102879004758e+001dB,8.61269366604483e-001°)
2.34422881531992e+000	(-9.59101969564287e+001dB,8.81321712666499e-001°)
2.39883291901949e+000	(-9.55101017285254e+001dB,9.01840480542761e-001°)
2.45470891568503e+000	(-9.51100020151432e+001dB,9.22836487616040e-001°)
2.51188643150958e+000	(-9.47098976050684e+001dB,9.44320799877646e-001°)
2.57039578276886e+000	(-9.43097882772768e+001dB,9.66304737488400e-001°)
2.63026799189538e+000	(-9.39096738002959e+001dB,9.88799880436092e-001°)
2.69153480392691e+000	(-9.35095539317091e+001dB,1.01181807431186e+000°)
2.75422870333816e+000	(-9.31094284177871e+001dB,1.03537143620688e+000°)
2.81838293126445e+000	(-9.27092969928014e+001dB,1.05947236071727e+000°)
2.88403150312660e+000	(-9.23091593787153e+001dB,1.08413352607581e+000°)
2.95120922666638e+000	(-9.19090152841755e+001dB,1.10936790038580e+000°)
3.01995172040201e+000	(-9.15088644042949e+001dB,1.13518874799609e+000°)
3.09029543251359e+000	(-9.11087064198370e+001dB,1.16160963598413e+000°)
3.16227766016837e+000	(-9.07085409965765e+001dB,1.18864444075542e+000°)
3.23593656929628e+000	(-9.03083677845320e+001dB,1.21630735477794e+000°)
3.31131121482591e+000	(-8.99081864174231e+001dB,1.24461289343760e+000°)
3.38844156139202e+000	(-8.95079965116479e+001dB,1.27357590200636e+000°)
3.46736850452531e+000	(-8.91077976657024e+001dB,1.30321156274023e+000°)
3.54813389233575e+000	(-8.87075894591361e+001dB,1.33353540210764e+000°)
3.63078054770101e+000	(-8.83073714517863e+001dB,1.36456329812592e+000°)
3.71535229097172e+000	(-8.79071431830149e+001dB,1.39631148784596e+000°)
3.80189396320560e+000	(-8.75069041704175e+001dB,1.42879657492936e+000°)
3.89045144994280e+000	(-8.71066539089598e+001dB,1.46203553736632e+000°)
3.98107170553496e+000	(-8.67063918700054e+001dB,1.49604573531311e+000°)
4.07380277804112e+000	(-8.63061175001794e+001dB,1.53084491905275e+000°)
4.16869383470335e+000	(-8.59058302201424e+001dB,1.56645123705776e+000°)
4.26579518801592e+000	(-8.55055294233518e+001dB,1.60288324418477e+000°)
4.36515832240165e+000	(-8.51052144749395e+001dB,1.64015990997823e+000°)
4.46683592150962e+000	(-8.47048847104105e+001dB,1.67830062709177e+000°)
4.57088189614874e+000	(-8.43045394340250e+001dB,1.71732521979074e+000°)
4.67735141287197e+000	(-8.39041779176143e+001dB,1.75725395260620e+000°)
4.78630092322637e+000	(-8.35037993988176e+001dB,1.79810753903467e+000°)
4.89778819368445e+000	(-8.31034030798989e+001dB,1.83990715038467e+000°)
5.01187233627271e+000	(-8.27029881256233e+001dB,1.88267442467037e+000°)
5.12861383991364e+000	(-8.23025536617933e+001dB,1.92643147561622e+000°)
5.24807460249771e+000	(-8.19020987735106e+001dB,1.97120090172933e+000°)
5.37031796370252e+000	(-8.15016225031311e+001dB,2.01700579544494e+000°)
5.49540873857623e+000	(-8.11011238483242e+001dB,2.06386975232444e+000°)
5.62341325190348e+000	(-8.07006017600184e+001dB,2.11181688031666e+000°)
5.75439937337156e+000	(-8.03000551403736e+001dB,2.16087180905974e+000°)
5.88843655355588e+000	(-7.98994828403676e+001dB,2.21105969921141e+000°)
6.02559586074356e+000	(-7.94988836574698e+001dB,2.26240625179544e+000°)
6.16595001861481e+000	(-7.90982563332912e+001dB,2.31493771755959e+000°)
6.30957344480192e+000	(-7.86975995509649e+001dB,2.36868090633407e+000°)
6.45654229034654e+000	(-7.82969119323501e+001dB,2.42366319633357e+000°)
6.60693448007594e+000	(-7.78961920355061e+001dB,2.47991254346947e+000°)
6.76082975391980e+000	(-7.74954383515151e+001dB,2.53745749053908e+000°)
6.91830970918935e+000	(-7.70946493014551e+001dB,2.59632717638174e+000°)
7.07945784384136e+000	(-7.66938232334323e+001dB,2.65655134492981e+000°)
7.24435960074988e+000	(-7.62929584190935e+001dB,2.71816035410256e+000°)
7.41310241300916e+000	(-7.58920530500790e+001dB,2.78118518456105e+000°)
7.58577575029182e+000	(-7.54911052346069e+001dB,2.84565744830574e+000°)
7.76247116628690e+000	(-7.50901129935794e+001dB,2.91160939701980e+000°)
7.94328234724279e+000	(-7.46890742567015e+001dB,2.97907393021730e+000°)
8.12830516164097e+000	(-7.42879868581377e+001dB,3.04808460304302e+000°)
8.31763771102669e+000	(-7.38868485327143e+001dB,3.11867563384484e+000°)
8.51138038202374e+000	(-7.34856569110897e+001dB,3.19088191132056e+000°)
8.70963589956078e+000	(-7.30844095150659e+001dB,3.26473900125615e+000°)
8.91250938133743e+000	(-7.26831037530411e+001dB,3.34028315288479e+000°)
9.12010839355907e+000	(-7.22817369147307e+001dB,3.41755130466156e+000°)
9.33254300796988e+000	(-7.18803061659746e+001dB,3.49658108953731e+000°)
9.54992586021433e+000	(-7.14788085432049e+001dB,3.57741083957469e+000°)
9.77237220955808e+000	(-7.10772409479201e+001dB,3.66007958996406e+000°)
9.99999999999997e+000	(-7.06756001405790e+001dB,3.74462708218144e+000°)
1.02329299228075e+001	(-7.02738827345314e+001dB,3.83109376642769e+000°)
1.04712854805090e+001	(-6.98720851895324e+001dB,3.91952080313115e+000°)
1.07151930523760e+001	(-6.94702038052080e+001dB,4.00995006347602e+000°)
1.09647819614318e+001	(-6.90682347139002e+001dB,4.10242412886861e+000°)
1.12201845430196e+001	(-6.86661738738719e+001dB,4.19698628926498e+000°)
1.14815362149688e+001	(-6.82640170613717e+001dB,4.29368054022207e+000°)
1.17489755493953e+001	(-6.78617598632175e+001dB,4.39255157858509e+000°)
1.20226443461741e+001	(-6.74593976684406e+001dB,4.49364479669017e+000°)
1.23026877081238e+001	(-6.70569256605128e+001dB,4.59700627505307e+000°)
1.25892541179416e+001	(-6.66543388080166e+001dB,4.70268277317954e+000°)
1.28824955169313e+001	(-6.62516318561674e+001dB,4.81072171866987e+000°)
1.31825673855640e+001	(-6.58487993174140e+001dB,4.92117119424601e+000°)
1.34896288259165e+001	(-6.54458354618133e+001dB,5.03407992262440e+000°)
1.38038426460288e+001	(-6.50427343070967e+001dB,5.14949724905943e+000°)
1.41253754462275e+001	(-6.46394896086137e+001dB,5.26747312152048e+000°)
1.44543977074592e+001	(-6.42360948485532e+001dB,5.38805806799413e+000°)
1.47910838816820e+001	(-6.38325432252255e+001dB,5.51130317116317e+000°)
1.51356124843620e+001	(-6.34288276414892e+001dB,5.63726003980739e+000°)
1.54881661891248e+001	(-6.30249406938517e+001dB,5.76598077718606e+000°)
1.58489319246111e+001	(-6.26208746596897e+001dB,5.89751794567380e+000°)
1.62181009735892e+001	(-6.22166214856588e+001dB,6.03192452787162e+000°)
1.65958690743755e+001	(-6.18121727747584e+001dB,6.16925388369061e+000°)
1.69824365246174e+001	(-6.14075197737318e+001dB,6.30955970324490e+000°)
1.73780082874937e+001	(-6.10026533596156e+001dB,6.45289595520957e+000°)
1.77827941003892e+001	(-6.05975640262707e+001dB,6.59931683046736e+000°)
1.81970085860998e+001	(-6.01922418706019e+001dB,6.74887668072920e+000°)
1.86208713666286e+001	(-5.97866765785010e+001dB,6.90162995178427e+000°)
1.90546071796324e+001	(-5.93808574104262e+001dB,7.05763111103723e+000°)
1.94984459975804e+001	(-5.89747731867812e+001dB,7.21693456920723e+000°)
1.99526231496887e+001	(-5.85684122731259e+001dB,7.37959459556674e+000°)
2.04173794466952e+001	(-5.81617625652429e+001dB,7.54566522664498e+000°)
2.08929613085403e+001	(-5.77548114738502e+001dB,7.71520016786701e+000°)
2.13796208950222e+001	(-5.73475459093152e+001dB,7.88825268782589e+000°)
2.18776162394954e+001	(-5.69399522663346e+001dB,8.06487550491498e+000°)
2.23872113856833e+001	(-5.65320164085271e+001dB,8.24512066573900e+000°)
2.29086765276776e+001	(-5.61237236528884e+001dB,8.42903941515072e+000°)
2.34422881531991e+001	(-5.57150587545337e+001dB,8.61668205738632e+000°)
2.39883291901948e+001	(-5.53060058914666e+001dB,8.80809780799762e+000°)
2.45470891568502e+001	(-5.48965486495677e+001dB,9.00333463618138e+000°)
2.51188643150957e+001	(-5.44866700078113e+001dB,9.20243909712531e+000°)
2.57039578276885e+001	(-5.40763523237578e+001dB,9.40545615398284e+000°)
2.63026799189537e+001	(-5.36655773196145e+001dB,9.61242898920980e+000°)
2.69153480392690e+001	(-5.32543260689334e+001dB,9.82339880489297e+000°)
2.75422870333815e+001	(-5.28425789836596e+001dB,1.00384046116635e+001°)
2.81838293126444e+001	(-5.24303158018991e+001dB,1.02574830059165e+001°)
2.88403150312659e+001	(-5.20175155769406e+001dB,1.04806679353319e+001°)
2.95120922666637e+001	(-5.16041566670571e+001dB,1.07079904520882e+001°)
3.01995172040200e+001	(-5.11902167262663e+001dB,1.09394784537345e+001°)
3.09029543251358e+001	(-5.07756726964813e+001dB,1.11751564116441e+001°)
3.16227766016837e+001	(-5.03605008014058e+001dB,1.14150450869315e+001°)
3.23593656929627e+001	(-4.99446765414108e+001dB,1.16591612336170e+001°)
3.31131121482590e+001	(-4.95281746907697e+001dB,1.19075172894035e+001°)
3.38844156139201e+001	(-4.91109692962915e+001dB,1.21601210537355e+001°)
3.46736850452530e+001	(-4.86930336786235e+001dB,1.24169753538922e+001°)
3.54813389233574e+001	(-4.82743404355393e+001dB,1.26780776988350e+001°)
3.63078054770100e+001	(-4.78548614477820e+001dB,1.29434199215328e+001°)
3.71535229097171e+001	(-4.74345678875820e+001dB,1.32129878101864e+001°)
3.80189396320559e+001	(-4.70134302304955e+001dB,1.34867607289808e+001°)
3.89045144994279e+001	(-4.65914182696329e+001dB,1.37647112288576e+001°)
3.98107170553495e+001	(-4.61685011342771e+001dB,1.40468046498103e+001°)
4.07380277804111e+001	(-4.57446473111420e+001dB,1.43329987148245e+001°)
4.16869383470333e+001	(-4.53198246699315e+001dB,1.46232431174644e+001°)
4.26579518801591e+001	(-4.48940004927615e+001dB,1.49174791038926e+001°)
4.36515832240164e+001	(-4.44671415078864e+001dB,1.52156390510308e+001°)
4.46683592150961e+001	(-4.40392139275894e+001dB,1.55176460424596e+001°)
4.57088189614873e+001	(-4.36101834910192e+001dB,1.58234134439770e+001°)
4.67735141287196e+001	(-4.31800155114368e+001dB,1.61328444805816e+001°)
4.78630092322636e+001	(-4.27486749287713e+001dB,1.64458318174121e+001°)
4.89778819368444e+001	(-4.23161263664871e+001dB,1.67622571463362e+001°)
5.01187233627270e+001	(-4.18823341947414e+001dB,1.70819907817692e+001°)
5.12861383991362e+001	(-4.14472625975522e+001dB,1.74048912671166e+001°)
5.24807460249770e+001	(-4.10108756461836e+001dB,1.77308049954551e+001°)
5.37031796370250e+001	(-4.05731373774456e+001dB,1.80595658473844e+001°)
5.49540873857622e+001	(-4.01340118772167e+001dB,1.83909948486034e+001°)
5.62341325190346e+001	(-3.96934633694123e+001dB,1.87248998506845e+001°)
5.75439937337154e+001	(-3.92514563098796e+001dB,1.90610752383553e+001°)
5.88843655355586e+001	(-3.88079554854673e+001dB,1.93993016662916e+001°)
